geo_id,name,total,hascomputer,dialup,broadband,nointernet,nocomputer
0500000US37065,"Edgecombe County, North Carolina",21371,15910,84,12963,2863,5461
0500000US37085,"Harnett County, North Carolina",45086,40224,206,34181,5837,4862
0500000US37089,"Henderson County, North Carolina",48281,41971,169,38148,3654,6310
0500000US37095,"Hyde County, North Carolina",1769,1390,69,977,344,379
0500000US37119,"Mecklenburg County, North Carolina",403546,376743,830,347208,28705,26803
0500000US37131,"Northampton County, North Carolina",8628,6167,10,4324,1833,2461
0500000US37159,"Rowan County, North Carolina",52301,44818,308,39526,4984,7483
0500000US37181,"Vance County, North Carolina",16854,13386,83,10945,2358,3468
0500000US37053,"Currituck County, North Carolina",10148,9223,85,8122,1016,925
0500000US37179,"Union County, North Carolina",75165,70127,237,66683,3207,5038
0500000US37067,"Forsyth County, North Carolina",146685,129932,596,115799,13537,16753
0500000US37127,"Nash County, North Carolina",36720,30457,314,26776,3367,6263
0500000US37017,"Bladen County, North Carolina",13968,10854,90,8909,1855,3114
0500000US37055,"Dare County, North Carolina",15441,14538,59,13440,1039,903
0500000US37185,"Warren County, North Carolina",7780,5721,53,4288,1380,2059
0500000US37195,"Wilson County, North Carolina",32128,26397,124,23332,2941,5731
0500000US37015,"Bertie County, North Carolina",7976,5709,67,4380,1262,2267
0500000US37073,"Gates County, North Carolina",4477,3620,40,2964,616,857
0500000US37075,"Graham County, North Carolina",3288,2031,55,1624,352,1257
0500000US37117,"Martin County, North Carolina",9471,7524,48,5851,1625,1947
0500000US37115,"Madison County, North Carolina",8452,6846,42,5886,918,1606
0500000US37137,"Pamlico County, North Carolina",5352,4520,86,3679,755,832
0500000US37143,"Perquimans County, North Carolina",5919,4899,99,4091,709,1020
0500000US37149,"Polk County, North Carolina",9047,7813,122,6814,877,1234
0500000US37151,"Randolph County, North Carolina",56041,46499,358,39518,6623,9542
0500000US37157,"Rockingham County, North Carolina",37201,29401,189,25069,4143,7800
0500000US37169,"Stokes County, North Carolina",19302,15456,254,12834,2368,3846
